UMAP_1,UMAP_2,NetworkNum
15.881688,23.238682,11
-1.4228296,5.9645534,11
-3.9568822,5.9794984,11
8.212341,-7.324344,11
-3.9263165,5.779136,11
-0.7324508,-14.10316,11
30.655073,19.411694,11
-0.604299,-13.924942,11
16.11628,23.233603,11
-0.603725,28.538322,11
-0.7593885,-14.044728,11
-0.7170046,28.632872,11
-1.314658,6.3591714,11
15.889983,23.19011,11
-1.3338381,6.36622,11
-12.079515,-3.1309595,11
28.128897,1.8840587,11
-0.8387182,-14.1683035,11
-0.9181475,-13.835271,11
3.880115,5.1724224,12
-1.8679249,3.0577013,12
-2.4543989,3.1257432,12
-1.7935249,6.355649,12
3.2743988,-6.25599,12
3.2002647,-6.4680634,12
28.133915,1.6060451,12
28.002497,1.719552,12
15.675295,23.128017,12
15.873826,23.326519,12
28.376516,1.977805,12
15.796167,23.059717,12
28.360167,1.6160117,12
28.20755,1.5508026,12
-1.9742699,2.8537729,12
-1.9905927,2.7461271,12
7.9557004,-7.47271,12
7.7415934,-7.680283,12
-4.6321774,5.7004056,12
-0.61631405,-13.962102,12
28.319435,1.515956,12
-2.5027819,6.066559,12
15.811237,23.192936,12
6.071563,0.27082077,12
28.076464,1.5469673,12
-4.0603213,5.6691027,12
3.747026,5.2533693,12
3.7018695,5.282738,12
3.8950903,5.4242835,12
3.8751311,5.204982,12
3.709505,5.1504383,12
3.862913,5.276109,12
-12.063383,-3.1147904,12
-4.563109,5.7041464,12
28.240349,2.0153892,12
-0.79934055,28.661379,12
-0.83697426,-13.936524,12
16.063583,23.218279,12
15.839494,23.242693,12
28.156456,1.6025176,12
7.8106146,-7.587675,12
-3.984259,5.775036,12
-0.74786717,-13.947524,12
-4.0077057,5.894799,12
-0.572446,-13.80817,12
3.3660033,-6.431425,12
-0.8303338,-14.087368,12
7.8126197,-7.634992,12
28.37937,1.8288554,12
16.099659,23.390099,12
15.998081,23.370232,12
-1.0204613,-13.952977,12
3.9821622,5.3029685,12
3.8837042,5.3550277,12
-1.7893317,3.389113,12
28.672197,1.6066568,12
-3.4184074,4.8706484,12
-1.8447909,3.0896647,12
27.932844,1.1992173,12
-2.0746946,2.8842483,12
6.107404,0.19271506,12
-3.8552096,6.1723146,12
27.985058,1.6300626,12
-4.1544585,5.7175193,12
7.7182627,-7.7070303,13
-2.4267027,3.0994582,13
-2.2603333,2.6254535,13
-2.0915093,2.63426,13
4.025007,5.3982053,13
7.810537,-7.5747337,13
-2.0744627,2.5418437,13
-1.1936145,6.637449,13
-0.5868635,-14.113014,13
-2.7218723,6.3742495,13
3.1629105,-6.121594,13
3.3732567,5.046977,13
28.182505,1.3945341,13
-1.447192,5.9704285,13
-3.5149431,5.0722113,13
7.834774,-7.6825595,13
-1.4148741,6.6541543,13
3.770094,5.3598742,13
15.939994,23.325924,13
28.306696,2.1012795,13
-3.5044382,5.058052,13
15.810942,23.326405,13
3.8041477,5.235807,13
-2.248994,2.6491807,13
